idx,ln_master_rollup_column,status,canonical_location_or_resolution
1,research_id,REPRESENTED,pub_canonical.canonical_patient_master.research_id; join key to pathology tables
2,ln_total_examined,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_total_examined (+ pub_canonical.canonical_patient_master.ln_total_examined); pub_canonical.canonical_tumor_characteristics_v1.ln_examined (per-resected-tumor grain)
3,ln_total_positive,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_total_positive (+ pub_canonical.canonical_patient_master.ln_total_positive); pub_canonical.canonical_tumor_characteristics_v1.ln_involved (tumor grain surrogate for positive nodal count)
4,ln_ratio,REPRESENTED,pub_canonical.canonical_patient_master.ln_ratio (+ pub_canonical.canonical_patient_master.ln_rollup_ratio)
5,ln_any_positive,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_any_positive (+ pub_canonical.canonical_patient_master.ln_positive_flag bridge)
6,ln_largest_deposit_cm,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_largest_deposit_cm (+ pub_canonical.canonical_patient_master.tp_ln_largest_deposit_cm)
7,ln_central_examined,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_central_examined
8,ln_central_positive,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_central_positive (+ pub_canonical.canonical_patient_master.tp_ln_central_positive)
9,ln_lateral_left_examined,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_lateral_left_examined
10,ln_lateral_left_positive,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_lateral_left_positive
11,ln_lateral_right_examined,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_lateral_right_examined
12,ln_lateral_right_positive,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_lateral_right_positive
13,ln_bilateral_lateral_examined,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_bilateral_lateral_examined
14,ln_bilateral_lateral_positive,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_bilateral_lateral_positive
15,ln_other_examined,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_other_examined
16,ln_other_positive,REPRESENTED,pub_canonical.canonical_patient_master.ln_rollup_other_positive
17,ln_total_examined_from_locations,REPRESENTED,pub_canonical.canonical_patient_master.syn_ln_total_examined_from_locations_legacy
18,ln_total_positive_from_locations,REPRESENTED,pub_canonical.canonical_patient_master.syn_ln_total_positive_from_locations_legacy
19,ln_level_i_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_i_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
20,ln_level_i_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_i_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
21,ln_level_ii_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_ii_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
22,ln_level_ii_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_ii_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
23,ln_level_iii_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_iii_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
24,ln_level_iii_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_iii_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
25,ln_level_iv_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_iv_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
26,ln_level_iv_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_iv_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
27,ln_level_v_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_v_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
28,ln_level_v_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_v_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
29,ln_level_vi_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_vi_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
30,ln_level_vi_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_vi_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
31,ln_level_vii_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_vii_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
32,ln_level_vii_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_vii_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
33,ln_level_unspecified_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_level_unspecified_examined; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
34,ln_level_unspecified_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_level_unspecified_positive; pub_canonical.canonical_patient_master mirrors examined counts via ln_level_*_examined (+ _v2 columns for secondary QC grain)
35,ln_region_central_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_region_central_examined (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
36,ln_region_central_positive,REPRESENTED,pub_canonical.tumor_pathology.ln_region_central_positive (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
37,ln_region_lateral_left_examined,REPRESENTED,pub_canonical.tumor_pathology.ln_region_lateral_left_examined (regional LN parser duplicates compartment columns; analytic MAX-per-patient lives on pub_canonical.canonical_patient_master ln_rollup_*)
