comparison_domain,entity_type,rows,unique_patients
operative_detail,tracheal_deviation,288,232
staging,extrathyroidal_extension,249,233
procedures,post_treatment_wbs_findings,231,231
staging,free_t4,212,184
procedures,ultrasound_lymph_node,149,131
procedures,laryngoscopy_findings,145,141
procedures,laryngoscopy_date,145,141
operative_detail,mass_effect,137,121
staging,ete_on_imaging,133,124
staging,free_t3,99,88
operative_detail,ct_neck,94,85
staging,ptnm_stage,92,86
operative_detail,tracheal_narrowing,62,60
procedures,lymph_node_pathology,60,55
procedures,prior_thyroidectomy,52,46
procedures,treatment_declined,49,48
staging,total_t4,49,47
procedures,lymph_node_palpation,37,37
staging,surgical_pathology,37,35
operative_detail,ultrasound_thyroid,32,28
operative_detail,esophageal_compression,30,29
procedures,lymph_node_level,30,24
operative_detail,soft_tissue_invasion,23,23
procedures,vascular_encasement,23,22
staging,soft_tissue_invasion,22,22
procedures,ultrasound_thyroid,19,19
procedures,surgical_pathology,19,19
genetics,return_to_work,17,17
operative_detail,airway_exam,15,15
procedures,prior_neck_dissection,14,14
genetics,molecular_testing,13,12
staging,t3,13,11
staging,tumor_size,13,12
staging,prior_thyroidectomy,12,12
staging,lymph_node_pathology,11,10
staging,ct_neck,9,9
operative_detail,neck_exam,9,9
operative_detail,lymph_node_pathology,9,8
procedures,neck_exam,8,8
procedures,ct_neck,8,8
operative_detail,laryngoscopy_findings,7,7
staging,prior_cancer,7,6
staging,t4,6,4
staging,ultrasound_thyroid,6,5
procedures,prior_cancer,6,3
procedures,prior_fna,6,6
procedures,structural_recurrence,6,6
procedures,mass_effect,6,6
procedures,patient_preference,5,5
staging,pathologic_stage,5,5
staging,pT_stage,5,5
staging,total_t3,5,5
genetics,prior_fna,5,3
operative_detail,other_surgery,4,4
medications,thyroid_hormone_suppression,3,2
staging,pN_stage,3,3
procedures,prior_neck_surgery,3,3
procedures,vocal_cord_mobility,3,3
procedures,fna_cytology,3,3
operative_detail,preoperative_diagnosis,3,3
staging,tumor_stage,3,3
operative_detail,laryngeal_invasion,3,3
operative_detail,surgical_pathology,3,3
operative_detail,prior_fna,3,3
operative_detail,lymph_node_palpation,2,2
procedures,procedures_performed,2,2
procedures,procedure_performed,2,2
procedures,specimen_type,2,1
genetics,ultrasound_thyroid,2,2
staging,neck_exam,2,2
staging,substernal_extension,2,2
staging,t3_uptake,2,2
procedures,surgical_procedure,2,2
operative_detail,preoperative_medication,2,1
operative_detail,chest_xray,2,2
procedures,frozen_section,2,2
procedures,other_surgery,2,2
procedures,family_hx_thyroid,2,2
procedures,nodule_location,2,1
genetics,pet_ct,1,1
complications,calcium_quality_of_life,1,1
complications,frozen_section,1,1
genetics,ct_chest,1,1
genetics,fna_cytology,1,1
genetics,swallowing_function_detail,1,1
genetics,surgical_pathology,1,1
genetics,other_surgery,1,1
operative_detail,vascular_encasement,1,1
procedures,disease_free,1,1
operative_detail,ultrasound_lymph_node,1,1
operative_detail,trachea,1,1
operative_detail,tracheal_compression,1,1
operative_detail,post_treatment_wbs_findings,1,1
operative_detail,etr_on_imaging,1,1
operative_detail,margin_status,1,1
operative_detail,anesthesia,1,1
genetics,voice_recovery,1,1
genetics,vocal_cord_mobility,1,1
genetics,vocal_cord_imaging,1,1
operative_detail,mri_neck,1,1
operative_detail,procedures_performed,1,1
operative_detail,pet_ct,1,1
operative_detail,neck,1,1
operative_detail,nodule_location,1,1
operative_detail,prior_thyroidectomy,1,1
procedures,findings,1,1
operative_detail,scar_assessment,1,1
operative_detail,swallowing_function_detail,1,1
procedures,pet_ct,1,1
procedures,neck_nodule,1,1
procedures,lymph_node_involvement,1,1
procedures,lymph_node_metastasis,1,1
procedures,lymph_node,1,1
procedures,benign_pathology,1,1
operative_detail,wound_exam,1,1
operative_detail,thyroid_palpation,1,1
procedures,substernal_extension,1,1
procedures,specimens,1,1
procedures,procedure,1,1
procedures,vocal_cord_imaging,1,1
procedures,thyroid_nodule,1,1
procedures,thyroidectomy,1,1
procedures,thyroid_enlargement,1,1
procedures,thyroid_imaging,1,1
staging,extranodal_extension,1,1
staging,diabetes,1,1
staging,ata_risk_category,1,1
staging,free_t4_index,1,1
staging,mass_effect,1,1
staging,lymphovascular_invasion,1,1
staging,multifocality,1,1
staging,osteoporosis,1,1
staging,renal_disease,1,1
staging,post_treatment_wbs_findings,1,1
staging,post_treatment_scan,1,1
staging,stage,1,1
staging,thyroid_function,1,1
staging,thyroid_hormone_suppression,1,1
staging,thyroid_function_test,1,1
staging,vocal_cord_mobility,1,1
