domain_name,entity_date_fill_pct,note_date_fill_pct,date_confidence_fill_pct
imaging,0.0,1.0,0.0
tirads_granular,0.0,1.0,0.0
labs,0.0,1.0,0.0
tg_kinetics,0.0,1.0,0.0
pathology,0.0,1.0,0.0
synoptic_pathology_enrichment,0.0,1.0,0.0
rai_detailed,0.0,1.0,0.0
rad_treatment,0.0,1.0,0.0
parathyroid_detail,0.0,1.0,0.0
recurrence,0.0,1.0,0.0
survival_followup,0.0,1.0,0.0
functional_outcomes,0.0,1.0,0.0
past_medical_hx,0.0,1.0,0.0
past_surgical_hx,0.0,1.0,0.0
physical_exam,0.0,1.0,0.0
vascular_invasion,0.0,1.0,0.0
airway_invasion,0.0,1.0,0.0
dynamic_risk_response,0.0,1.0,0.0
patient_decision_adherence,0.0,1.0,0.0
UNCLAIMED,0.0,1.0,0.0
UNCLAIMED,0.0,1.0,0.0
UNCLAIMED,0.0,1.0,0.0
UNCLAIMED,0.0,1.0,0.0
UNCLAIMED,0.0,1.0,0.0
UNCLAIMED,0.0,1.0,0.0
UNCLAIMED,0.0,1.0,0.0
