family,column_name,metric,replay_kind,pm_non_null,source_non_null,pm_sum_or_true,source_sum_or_true,n_mismatches,closure_decision
nlp_funcoutcome,nlp_funcoutcome_has_data,has_data,source_located_non_exact_raw_replay,1623,1842.0,1623.0,1842.0,219.0,closed_source_found_pm_strict_subset
nlp_funcoutcome,nlp_funcoutcome_key_finding,key_finding,lineage_only_text_metric,1534,,,,,closed_lineage_source_found_text_metric_not_replayed
nlp_funcoutcome,nlp_funcoutcome_n_entities,n_entities,source_located_non_exact_raw_replay,1623,1842.0,2570.0,3322.0,492.0,closed_source_found_pm_strict_subset
nlp_funcoutcome,nlp_funcoutcome_n_notes,n_notes,source_located_non_exact_raw_replay,1623,1842.0,1882.0,2130.0,245.0,closed_source_found_pm_strict_subset
nlp_imaging,nlp_imaging_has_data,has_data,source_located_non_exact_raw_replay,1728,1759.0,1728.0,1759.0,31.0,closed_source_found_pm_strict_subset
nlp_imaging,nlp_imaging_key_finding,key_finding,lineage_only_text_metric,1727,,,,,closed_lineage_source_found_text_metric_not_replayed
nlp_imaging,nlp_imaging_n_entities,n_entities,source_located_non_exact_raw_replay,1728,1759.0,7942.0,8428.0,328.0,closed_source_found_pm_strict_subset
nlp_imaging,nlp_imaging_n_notes,n_notes,source_located_non_exact_raw_replay,1728,1759.0,1848.0,1879.0,31.0,closed_source_found_pm_strict_subset
nlp_labs,nlp_labs_has_data,has_data,source_located_non_exact_raw_replay,791,841.0,791.0,841.0,50.0,closed_source_found_pm_strict_subset
nlp_labs,nlp_labs_key_finding,key_finding,lineage_only_text_metric,784,,,,,closed_lineage_source_found_text_metric_not_replayed
nlp_labs,nlp_labs_n_entities,n_entities,source_located_non_exact_raw_replay,791,841.0,2168.0,2462.0,86.0,closed_source_found_pm_strict_subset
nlp_labs,nlp_labs_n_notes,n_notes,source_located_non_exact_raw_replay,791,841.0,795.0,847.0,52.0,closed_source_found_pm_strict_subset
nlp_ne_complications,nlp_ne_complications_has_data,has_data,exact_derivation_vs_canonical,2840,2840.0,2840.0,2840.0,0.0,closed_exact_replay
nlp_ne_complications,nlp_ne_complications_n_rows,n_rows,exact_derivation_vs_canonical,2840,2840.0,9359.0,9359.0,0.0,closed_exact_replay
nlp_ne_genetics,nlp_ne_genetics_has_data,has_data,exact_derivation_vs_canonical,605,605.0,605.0,605.0,0.0,closed_exact_replay
nlp_ne_genetics,nlp_ne_genetics_n_rows,n_rows,exact_derivation_vs_canonical,605,605.0,1738.0,1738.0,0.0,closed_exact_replay
nlp_ne_medications,nlp_ne_medications_has_data,has_data,exact_derivation_vs_canonical,2070,2070.0,2070.0,2070.0,0.0,closed_exact_replay
nlp_ne_medications,nlp_ne_medications_n_rows,n_rows,exact_derivation_vs_canonical,2070,2070.0,7501.0,7501.0,0.0,closed_exact_replay
