ratification_header,cf,disposition,n_cols,n_tables,tables,statuses,methods,batch_ids,earliest_verified,latest_verified,notes_sample,pattern_fit,disposition_rationale,recommended_action,appendix_candidate,proposed_n_cols,proposed_n_tables,proposed_tables
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig58,B,17,2,"canonical_parathyroid_patient_rollup_v1,canonical_patient_master",verified,"derivation_re_derivation_with_string_agg_ordering_artifact,derivation_vs_canonical_medications_events_v1_via_script215","mig_106_parathyroid_rollup_signoff_20260429,mig_151_patient_master_meds_radtx_proc_cluster_20260429",2026-04-29 00:58:10,2026-04-29 02:11:33, | mig_151 meds/radtx/proc cluster (Lane 41). med_nlp_*: Script 215 SOURCE2 replay vs note_entities_medications present-only; list_sort note_types for STRING_AGG order-independence (CF-mig58). CF-mig151-MEDNLP-SPARSE-VS-ROLLUP: not canonical_medications_events tier. | mig_151b: CF-mig151-MED-METHODO,Type-A/Type-B: no; string aggregation ordering artifact / trace-only,"Verified methods are real derivation probes. Notes document zero value-set drift for parathyroid strings and list_sort/list-set ordering handling for NLP medication note_types. Remaining CF records an ordering artifact, not unresolved data content.",Leave tag for trace; optional future deterministic STRING_AGG rebuild only if presentation stability requires it.,True,17,2,canonical_parathyroid_patient_rollup_v1; canonical_patient_master
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig156-COHORT-UNIFORM-FALSE-prm_high_risk_marker_any,C,17,1,canonical_patient_master,"na,verified","helper_placeholder_pending_real_extraction_per_mig148b_pattern,internal_consistency_prm_rule_master_v1","mig_156_patient_master_framework_provenance_cluster_20260429,mig_156b_framework_cleanup_20260429",2026-04-29 16:40:14,2026-04-29 16:41:12, | mig_156 framework cluster (156b PRM). Patient-rule-master rollups from canonical_fna_events_v1 spine for first/last FNA calendar dates + margins/recurrence facets; cf. CF-mig156-COHORT-UNIFORM-FALSE-prm_high_risk_marker_any.,Type-B placeholder: yes for prm_high_risk_marker_any only; companion PRM rows verified,"The exact target column was reclassified verified→na by mig_156b with helper_placeholder_pending_real_extraction_per_mig148b_pattern after 0 TRUE / 10,305 FALSE / 566 NULL. The other 16 PRM columns have a real internal-consistency method.",Safe-to-prune / append close-out note in apply lane: CLOSED by mig_156b; retain trace on PRM family if desired.,False,17,1,canonical_patient_master
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig166-SCRIPT-ALL-TRUE,B,15,1,canonical_cleanup_audit_v1,verified,derivation_vs_classifier_inventory_272_266c_275_canonical_cleanup_audit,mig_166_canonical_cleanup_audit_v1_signoff_20260429,2026-04-29 20:57:57,2026-04-29 20:57:57, | mig_165 auxiliary lane (165f-manuscript_workspace-governance-audit): mass auto-na classification (Lane 53 / mig_165 prompt `CURSOR_PROMPT_mig165_auxiliary_registry_hygiene_20260429.md`). | mig_166 Lane 54: governance inventory col verified vs Script 272/266c classifier v2 + 275 phase-5 inventory;,Type-A near-uniform/presence classifier flag: yes; documented governance inventory behavior,"Rows are verified by derivation_vs_classifier_inventory_272_266c_275_canonical_cleanup_audit. The all-TRUE script-reference condition is an expected governance audit inventory signal, not a patient-data defect.",Leave alone; retain as governance trace.,False,15,1,canonical_cleanup_audit_v1
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-PMH-MULTISOURCE-DISAGREEMENT,B,15,1,canonical_pmh_events_v1,verified,extraction_faithfulness_legacy_llm_plus_verify_as_injected_synthetic,mig_107_pmh_events_signoff_20260428,2026-04-28 20:59:04,2026-04-28 20:59:04, | mig_107: Protocol v2 PMH verification. Legacy source note_entities_problem_list was re-derived from archived source archive_pub_v1_0.note_entities_problem_list_pre365_20260422_064230; LLM source note_entities_llm_past_medical_hx was re-derived from parsed result_json entities using script 365 SQL,Type-A/Type-B: no; multisource provenance disagreement trace,"mig_107 verified legacy+LLM PMH extraction faithfulness: 12,444 expected/canonical/joined, 0 missing, 0 extra, 0 mismatches; synthetic rows were verified-as-injected. CF documents the known legacy-vs-LLM source mixture.",Leave alone; retain for manuscript methods/provenance appendix.,True,15,1,canonical_pmh_events_v1
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig156-N-,B,15,1,canonical_patient_master,verified,derivation_vs_canonical_upstream_counters_v1,mig_156_patient_master_framework_provenance_cluster_20260429,2026-04-29 16:40:09,2026-04-29 16:40:09, | mig_156 framework cluster (156a N-counts). Per-feed COUNT aggregates + surgery-count lineage; v2 sibling cols vs legacy feeders per CF-mig156-N-*-V1-V2-* + FNA episode drift CF in header.,Type-A/Type-B: no; count-rollup lineage trace,"All 15 rows are verified by derivation_vs_canonical_upstream_counters_v1. Notes describe per-feed COUNT aggregates, surgery-count lineage, v2 sibling comparisons, and FNA drift context.",Leave alone; retain trace unless a later apply lane wants a closed-note suffix.,False,15,1,canonical_patient_master
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig145-CT-AIRWAY-COMMENT-PROXY,B,15,1,canonical_patient_master,verified,"derivation_vs_canonical_ct_imaging_v1_corrected_enum_filter,patient_level_aggregate_ct_per_exam",mig_145_patient_master_ct_imaging_cluster_20260429,2026-04-29 01:36:07,2026-04-29 05:45:13," | mig_145 CT cluster (Lane 35). Patient-level BOOL_OR / presence rules over structured `ct_imaging` fields replayed against CPM (`pathologic_lymph_nodes` flag for ct_pathologic_ln_any). Uniformity quirks: CF-mig145-CT-AIRWAY-COMMENT-PROXY, CF-mig145-CT-TRACHEAL-NOTMENTIONED-OVERREACH (see migration",Type-A sparse presence flags: partial; CT rollup NULL semantics / proxy limitation,"CT patient-level rollups are verified against canonical_ct_imaging_v1, with mig_145b correcting the related tracheal-not-mentioned overreach. The remaining airway-comment proxy tag describes source-field semantics and CT rollup NULL behavior rather than a pending fix.",Leave tag for trace; cite as CT-source proxy limitation if airway fields are used in methods.,True,15,1,canonical_patient_master
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig151-PROC-NLP-VS-CODES-GRAIN,B,14,1,canonical_patient_master,verified,extraction_faithfulness_vs_note_entities_procedures_script215,mig_151_patient_master_meds_radtx_proc_cluster_20260429,2026-04-29 02:11:33,2026-04-29 02:11:33, | mig_151 proc_nlp_* (Lane 41). Regex patient rollup vs note_entities_procedures; proc_nlp_lateral_neck_dissection verified separately; canonical_operative_procedure_codes_v1 = mention+linkage grain (CF-mig151-PROC-NLP-VS-CODES-GRAIN).,Type-A sparse presence flags: partial; grain mismatch trace,All 14 proc_nlp_* columns are verified by extraction faithfulness against note_entities_procedures/script215. Notes explicitly state that canonical_operative_procedure_codes_v1 is mention+linkage grain and not the same object as the NLP patient rollup.,Leave alone; retain for methods appendix on NLP-vs-code grain.,True,14,1,canonical_patient_master
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig156-ANY-RECURRENCE-,C,13,1,canonical_patient_master,verified,cross_domain_aggregation_any_overlap_rules_v1,mig_156_patient_master_framework_provenance_cluster_20260429,2026-04-29 16:40:23,2026-04-29 16:40:23, | mig_156 framework cluster (156d ANY-*). BOOL_OR / union semantics across path / invasion / molecular / complication feeds; capsular naive probe <=50 drift; recurrence OR wider than canonical_recurrence_v1 (CF-mig156-ANY-RECURRENCE-*).,Type-A/Type-B: no; already addressed by later recurrence/invasion apply lanes,Rows are verified with cross_domain_aggregation_any_overlap_rules_v1. Cowork prior report records the specific CF-mig156-ANY-RECURRENCE undercount closure by mig_163b; several sibling ANY fields also carry later mig_177b/mig_179 notes. Current tag is stale trace on the broad ANY-family.,Safe-to-prune / append close-out note in apply lane: CLOSED by mig_163b for recurrence-specific undercount; retain broad ANY-family trace where non-recurrence columns still need provenance.,True,13,1,canonical_patient_master
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig134-PM-LAB-DATE-ANCHOR,C,13,1,canonical_patient_master,verified,"derivation_canonical_labs_rollups_mig115_script347,derivation_script224_biochemical_concern_tier3_helper",mig_134_patient_master_labs_cluster_20260429,2026-04-29 00:08:49,2026-04-29 00:08:49, | mig_134 labs cluster (Lane 25). lab_* aggregates vs mig_115 verified per-analyte canonicals + Script 347 longitudinal_lab_VIEW_v1 union; NULL-safe count semantics. | CF-mig134-PM-LAB-DATE-ANCHOR: derived *_first_date/*_last_date are DATE on CPM; joins vs TIMESTAMP lab_datetime use CAST/ DATE_TRUN,Type-A/Type-B: no; date-anchor/retype stale tag,Rows are verified by canonical lab rollups/script347 or Script224 biochemical helper. Notes already specify DATE-on-CPM vs TIMESTAMP lab source comparisons using CAST/DATE_TRUNC; cowork backlog says mig_160 closes this date-retype/anchor family.,Safe-to-prune / append close-out note in apply lane: CLOSED by mig_160 date-retype family; retain methods caveat for DATE-vs-TIMESTAMP comparisons.,True,13,1,canonical_patient_master
-- LOGAN RATIFIED 2026-04-30; READY FOR COWORK PATH-C APPLY,CF-mig154-MARGIN-MM-VARCHAR-RETYPE,C,12,1,canonical_patient_master,verified,derivation_vs_canonical_path_malignant_events_v1,mig_154_patient_master_pathology_invasion_cluster_20260429,2026-04-29 16:39:02,2026-04-29 16:39:02, | mig_154 pathology-invasion (154e margin). Ordinal worst + R-class + margin_status_final resolver; DOUBLE mm triple from synoptic distance feed (CF-mig154-MARGIN-MM-VARCHAR-RETYPE CLEAR). Spot rids 5817/4279/8191/1062/6555.,Type-A/Type-B: no; explicitly closed retype,Notes explicitly say CF-mig154-MARGIN-MM-VARCHAR-RETYPE CLEAR. The verified method replays margin ordinal/R-class/status and DOUBLE-mm triples from canonical_path_malignant_events_v1.,Safe-to-prune / append close-out note in apply lane: CLOSED/CLEAR by mig_154.,False,12,1,canonical_patient_master
