model_id,model_name,model_class,script,function,outcome_variable,outcome_coding,covariates,n_total,n_complete_case,seed,optimizer,penalty,output_file,manuscript_section
M01,Primary Ordinal Regression (CC),statsmodels.OrderedModel(distr='logit'),proposal2_ete_analysis.py,adverse_features_analysis(),risk_ord,"0=low;1=intermediate;2=high","ete_micro;ete_gross;age_at_surgery;female;largest_tumor_cm;ln_ratio",596,593,42,BFGS,None,tables/table4_ordinal_regression.csv,Table 4
M02,MI Ordinal Regression (Primary),statsmodels.OrderedModel(distr='logit'),proposal2_recommendations.py,run_multiple_imputation(),risk_ord,"0=low;1=intermediate;2=high","ete_micro;ete_gross;age_at_surgery;female;largest_tumor_cm;ln_ratio",596,596,42,BFGS,None,tables/table5_sensitivity.csv,Table 5
M03,Expanded Ordinal Cohort A (MI),statsmodels.OrderedModel(distr='logit'),proposal2_expanded_cohort.py,run_mi_pipeline(),risk_ord,"0=low;1=intermediate;2=high","ete_micro;ete_gross;age_at_surgery;female;largest_tumor_cm;ln_ratio",3278,3278,42,BFGS,None,audit_tables/expanded_ordinal_cohortA.csv,Table 5 supplement
M04,Expanded Ordinal Cohort B (MI),statsmodels.OrderedModel(distr='logit'),proposal2_expanded_cohort.py,run_mi_pipeline(),risk_ord,"0=low;1=intermediate;2=high","ete_micro;ete_gross;age_at_surgery;female;largest_tumor_cm;ln_ratio",2166,2166,42,BFGS,None,audit_tables/expanded_ordinal_cohortB.csv,Table 5 supplement
M05,PSM Logistic (PS estimation),sklearn.LogisticRegression,proposal2_endpoint_psm_strata.py,propensity_match(),ete_micro,"0=NoETE;1=mETE","age_at_surgery;female;largest_tumor_cm;n_positive_flag",2460,2460,42,lbfgs,None,None (transient),PSM section
M06,PSM Fisher Exact (structural outcome),scipy.stats.fisher_exact,proposal2_endpoint_psm_strata.py,propensity_match(),structural_recurrence,"0/1 binary","matched pair structure",1422,1422,N/A,N/A,N/A,audit_tables/table6_propensity_matching_effect.csv,Table 6
M07,Cox PH (penalized),lifelines.CoxPHFitter(penalizer=0.1),proposal2_cox_regression.py,run_cox(),event_occurred,"0/1 binary","ete_gross;ete_micro;age_ge55;tumor_gt4;ln_ratio_std;braf_positive",5794,5794,42,newton,L2 (0.1),audit_tables/table3_cox_regression.csv,Table 3
M08,Interaction Model (mETE × size),statsmodels.Logit,proposal2_endpoint_psm_strata.py,interaction_tests(),structural_recurrence,"0/1","ete_micro;age;female;largest_tumor_cm;n_positive_flag;ete_micro:largest_tumor_cm",2460,2460,N/A,newton,None,audit_tables/table8_interaction_tests.csv,Table 8
M09,Interaction Model (mETE × age),statsmodels.Logit,proposal2_endpoint_psm_strata.py,interaction_tests(),structural_recurrence,"0/1","ete_micro;age;female;largest_tumor_cm;n_positive_flag;ete_micro:age",2460,2460,N/A,newton,None,audit_tables/table8_interaction_tests.csv,Table 8
M10,Interaction Model (mETE × nodal),statsmodels.Logit,proposal2_endpoint_psm_strata.py,interaction_tests(),structural_recurrence,"0/1","ete_micro;age;female;largest_tumor_cm;n_positive_flag;ete_micro:n_positive_flag",2460,2460,N/A,newton,None,audit_tables/table8_interaction_tests.csv,Table 8
M11,Size-Stratified Logistic (≤1cm),statsmodels.Logit,proposal2_endpoint_psm_strata.py,stratified_models(),structural_recurrence,"0/1","ete_micro;age;female;n_positive_flag",641,641,N/A,newton,None,audit_tables/table7_stratified_models.csv,Table 7
M12,Size-Stratified Logistic (1-2cm),statsmodels.Logit,proposal2_endpoint_psm_strata.py,stratified_models(),structural_recurrence,"0/1","ete_micro;age;female;n_positive_flag",628,628,N/A,newton,None,audit_tables/table7_stratified_models.csv,Table 7
M13,Size-Stratified Logistic (2-4cm),statsmodels.Logit,proposal2_endpoint_psm_strata.py,stratified_models(),structural_recurrence,"0/1","ete_micro;age;female;n_positive_flag",501,501,N/A,newton,None,audit_tables/table7_stratified_models.csv,Table 7
M14,Stage Migration McNemar,scipy.stats.chi2,proposal2_ete_analysis.py / proposal2_expanded_cohort.py,stage_migration_analysis(),stage_change,"downstaged/same/upstaged","paired pre-post (AJCC7 vs AJCC8)",3269,3269,N/A,N/A,N/A,tables/table3_stage_migration.csv,Table 3
M15,KM DFS by Risk Band,lifelines.KaplanMeierFitter,proposal2_cox_regression.py,fig10_km_risk_band(),event_occurred,"0/1 censored","time_to_event_days; stratified by risk band",5794,5794,N/A,N/A,N/A,figures/fig10_km_risk_band.png,Figure 10
M16,KM DFS by ETE,lifelines.KaplanMeierFitter,proposal2_cox_regression.py,fig11_km_ete(),event_occurred,"0/1 censored","time_to_event_days; stratified by ETE category",5794,5794,N/A,N/A,N/A,figures/fig11_km_ete.png,Figure 11
M17,Aggressive Variant Safety,statsmodels.OrderedModel(distr='logit'),proposal2_expanded_cohort.py,aggressive_variant_check(),risk_ord,"0=low;1=intermediate;2=high","ete_micro;ete_gross;age;female;tumor;ln_ratio",variable,variable,42,BFGS,None,audit_tables/aggressive_variant_safety.csv,Discussion
M18,AUC Cross-Validation,sklearn.StratifiedKFold + roc_auc_score,proposal2_ete_analysis.py,prognostic_performance(),risk_high_binary,"0/1","5-fold CV; Base vs Full model",596,593,42,N/A,N/A,analysis_metadata.yaml,Results text
