descriptor_state,derived_state,has_reported_text,has_acr_category,has_updated_category,n
descriptor_complete,derived_points_and_category_present,False,True,False,57
descriptor_complete,derived_points_and_category_present,False,True,True,75
descriptor_complete,derived_points_and_category_present,True,True,False,2898
descriptor_complete,derived_points_and_category_present,True,True,True,2090
descriptor_complete,derived_points_or_category_missing,False,False,True,12
descriptor_complete,derived_points_or_category_missing,True,False,True,1
descriptor_incomplete,derived_points_and_category_present,False,True,False,549
descriptor_incomplete,derived_points_and_category_present,False,True,True,289
descriptor_incomplete,derived_points_and_category_present,True,True,False,8926
descriptor_incomplete,derived_points_and_category_present,True,True,True,7303
descriptor_incomplete,derived_points_or_category_missing,False,False,True,782
descriptor_incomplete,derived_points_or_category_missing,True,False,False,5098
descriptor_incomplete,derived_points_or_category_missing,True,False,True,1424
