source_table,column_name,non_null_rows,total_rows,non_null_pct
canonical_patient_master,ajcc7_t_stage,4130,10871,37.99
canonical_patient_master,ajcc7_n_stage,4137,10871,38.06
canonical_patient_master,ajcc7_m_stage,10871,10871,100.0
canonical_patient_master,ajcc7_stage_group,3882,10871,35.71
canonical_patient_master,ajcc8_t_stage,4175,10871,38.4
canonical_patient_master,ajcc8_t_stage_with_microete_t3b_DEPRECATED,4138,10871,38.06
canonical_patient_master,ajcc8_t_stage_v2,4133,10871,38.02
canonical_patient_master,ajcc8_n_stage,5490,10871,50.5
canonical_patient_master,ajcc8_n_stage_v2,4137,10871,38.06
canonical_patient_master,ajcc8_m_stage,10871,10871,100.0
canonical_patient_master,ajcc8_m_stage_v2,10871,10871,100.0
canonical_patient_master,ajcc8_stage_group,4131,10871,38.0
canonical_patient_master,ajcc8_stage_group_corrected,7816,10871,71.9
canonical_patient_master,ajcc8_stage_group_v2,4130,10871,37.99
canonical_patient_master,dominant_tumor_ajcc8_t_stage,3999,10871,36.79
canonical_patient_master,dominant_tumor_ajcc8_n_stage,5496,10871,50.56
canonical_patient_master,dominant_tumor_ajcc8_m_stage,8422,10871,77.47
canonical_patient_master,dominant_tumor_ajcc8_stage_group,3610,10871,33.21
canonical_patient_master,n_tumors_ajcc8_staged,8422,10871,77.47
canonical_patient_master,tumor_stage_heterogeneous_t_ajcc8_flag,8422,10871,77.47
canonical_patient_master,tumor_stage_heterogeneous_overall_ajcc8_flag,8422,10871,77.47
