bethesda_bucket,race_level,or,ci_lo,ci_hi,p,n,n_events
III_AUS,Black,0.6483777668240114,0.4258304463849477,0.9872326699055687,0.04339731779075217,389,188
III_AUS,Asian,0.3810041700013583,0.1563142118758039,0.9286690942328455,0.033773875358590055,389,188
II_benign,Black,0.48609574304100334,0.3297635080858853,0.7165409925862531,0.00026886779530430283,845,139
II_benign,Asian,2.323144238988395,1.0191554686855893,5.295560217231143,0.04495245165864475,845,139
IV_FN,Black,1.1080336800043258,0.6679778748836628,1.83799296681459,0.6911486566303584,260,132
IV_FN,Asian,0.4099275713840824,0.07588844280656089,2.2143110013363474,0.30008914053452995,260,132
I_nondiagnostic,Black,0.6669906135674428,0.2304549760737505,1.9304268719487485,0.45512452742781295,84,23
I_nondiagnostic,Asian,7.025904919186902e-06,0.0,inf,0.9832559502911477,84,23
VI_malig,Black,0.5350299443503334,0.3200847035037617,0.8943165300248613,0.017028362868984657,522,432
VI_malig,Asian,1.0678929235688357,0.45363817546822466,2.5138874060396947,0.8804663607841312,522,432
V_susp_malig,Black,0.4749622466700577,0.13997324578676792,1.6116589602096254,0.23234282638059234,119,106
V_susp_malig,Asian,0.9249656909639274,0.1003667449570786,8.524352661095595,0.9451220012649191,119,106
missing,Black,0.21768471656233837,0.15835062975988623,0.29925132534477417,5.975788545905906e-21,902,323
missing,Asian,1.4279730105766317,0.8350387932895151,2.441930764560675,0.19311855514268994,902,323
