ordinal_position,column_name,data_type,verification_status,verification_method,batch_id,registry_notes,canonical_data_type,in_scope,n_rows,n_nonnull,null_pct,measurement_name_like,date_name_like,count_name_like,boolean_name_like,sample_values,distinct_norm,n_with_alpha,n_with_units,n_numeric_parseable,n_unparseable,n_boolean_like_values,boolean_value_subset,n_date_parseable,timestamp_has_subday
1,age_at_surgery,BIGINT,verified,demographics_age_at_surgery_anchor_multi_source,mig_130_patient_master_operative_cluster_20260429, | mig_130 operative cluster (Lane 22). age_at_surgery — demographics at surgery anchor (operative probe boundary).,BIGINT,True,10871,10871,0.0,False,False,False,False,36 | 55 | 53 | 40 | 64,,,,,,,,,
2,ages_calculable_flag,BOOLEAN,verified,derivation_ages_arithmetic,mig_143_patient_master_small_clusters_bundle_20260429," | mig_143 AGES shard. matches thyroid_scoring_python `compute_ages` (**0.1** age scaling tier, not obsolete 0.05 vignette); CF-mig143-AGES-CALC-ALLTRUE: flags all TRUE on cohort.",BOOLEAN,True,10871,10871,0.0,False,False,False,True,True,,,,,,,,,
3,ages_score,DOUBLE,verified,derivation_ages_arithmetic,mig_143_patient_master_small_clusters_bundle_20260429," | mig_143 AGES shard. matches thyroid_scoring_python `compute_ages` (**0.1** age scaling tier, not obsolete 0.05 vignette); CF-mig143-AGES-CALC-ALLTRUE: flags all TRUE on cohort.",DOUBLE,True,10871,10871,0.0,False,False,False,False,3.0 | 5.5 | 5.3 | 4.0 | 6.4,,,,,,,,,
4,aggressive_variant_flag,BOOLEAN,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157k). histologic_* STRING_AGG + aggressive_variant ladder; dominant_nodule v1 vs v2 drift CF. | CF-mig157-AGGRESSIVE-VARIANT-LADDER: low TRUE rate (43/10871) — strict tall/columnar/hobnail ladder.,BOOLEAN,True,10871,10871,0.0,False,False,False,True,False | True,,,,,,,,,
5,ajcc8_calculable_flag,BOOLEAN,verified,derivation_ajcc_calculability_check,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 AJCC-component shard STRING_AGG payloads; **`ajcc8_calculable_flag` NOT naive “(T+N+M+age) ALL non-null”** — see CF-mig143-AJCC8-CALC-NOT-NAIVE4 vs naive probe **112**. Ordering-independent equality via list_sort/tokenizer on CSV-style missing lists.,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True | False,,,,,,,,,
6,ajcc8_m_stage,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,VARCHAR,True,10871,10871,0.0,False,False,False,False,M0 | M1,2.0,10871.0,0.0,0.0,10871.0,0.0,False,0.0,
7,ajcc8_missing_components,VARCHAR,verified,derivation_ajcc_calculability_check,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 AJCC-component shard STRING_AGG payloads; **`ajcc8_calculable_flag` NOT naive “(T+N+M+age) ALL non-null”** — see CF-mig143-AJCC8-CALC-NOT-NAIVE4 vs naive probe **112**. Ordering-independent equality via list_sort/tokenizer on CSV-style missing lists.,VARCHAR,True,10871,6789,37.549,False,False,False,False,size,1.0,6789.0,0.0,0.0,6789.0,0.0,False,0.0,
8,ajcc8_n_stage,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,VARCHAR,True,10871,5490,49.499,False,False,True,False,N1a | N0 | N1b | Nx,4.0,5490.0,0.0,0.0,5490.0,0.0,False,0.0,
9,ajcc8_stage_calculable_flag,BOOLEAN,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True | False,,,,,,,,,
10,ajcc8_stage_group,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,VARCHAR,True,10871,4131,62.0,False,False,False,False,I | II | IVB | III,4.0,4131.0,0.0,0.0,4131.0,0.0,False,0.0,
11,ajcc8_t_stage_with_microete_t3b_DEPRECATED,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,VARCHAR,True,10871,4138,61.935,False,False,False,False,T3a | T1a | T1b | T2 | T3b,5.0,4138.0,0.0,0.0,4138.0,0.0,False,0.0,
12,ajcc8_t_stage_calculable_flag,BOOLEAN,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,BOOLEAN,True,10871,10871,0.0,False,False,False,True,True | False,,,,,,,,,
