database_name,database_id,snapshot_id,snapshot_name,created_ts,active_bytes,bytes_written,bytes_deleted,user_name,user_id
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,eae053a4-8ac8-487d-b95b-cbe2a62e7405,,2026-04-02 08:31:53.948,12288,12288,0,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,e72b4c61-87a7-425d-8950-1ee81de5809b,,2026-04-02 08:31:59.375,1847296,1839104,4096,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,dfe2c0a9-05e8-4793-89e5-ae65095df091,,2026-04-02 09:05:41.008,3158016,2363392,1052672,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,d40d61cd-4eae-4d89-8adb-a8a1998d6be7,,2026-04-02 09:06:41.534,4468736,4198400,2887680,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,5d16b64b-ee36-44a7-86cc-4951ce8e1b73,,2026-04-02 10:05:12.387,4730880,3936256,3674112,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,4188a1d8-ad79-467d-a80c-29f6c938055b,,2026-04-02 10:09:13.021,4730880,3936256,3936256,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,e430ed89-17c9-4fe2-9c44-30ae37b7729b,,2026-04-02 21:00:46.216,4993024,4198400,3936256,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,e453c452-059b-441f-bcf6-04987d61717f,,2026-04-03 06:27:56.562,5517312,1839104,1314816,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,c715a639-9224-4f67-a630-10ed0caf875e,,2026-04-03 09:59:05.830,6565888,4722688,3674112,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,677377da-a4dc-4e7b-9eee-a9ce09371a54,,2026-04-03 14:42:38.076,7090176,5509120,4984832,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,d0857b45-0092-4bd7-86d3-5d949c448eff,,2026-04-03 18:14:56.193,7352320,2363392,2101248,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,8736dad5-95e3-4e20-8d2d-504a4eb2040f,,2026-04-04 06:24:37.386,7352320,2625536,2625536,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
Thyroid 2026,b64d4ec9-aafb-49cc-bf39-d1dfd85e68dc,bfb2f747-a6b9-41a3-90a3-b11d0f2dc03d,,2026-04-04 18:11:15.240,7352320,2363392,2363392,logan_glosser,1a5fc41a-c574-4b4f-920b-a6687fe9fc84
