Table,Live_Count,Expected_Count,Status
manuscript_cohort_v1,10871,10871,PASS
patient_analysis_resolved_v1,10871,10871,PASS
episode_analysis_resolved_v1_dedup,9368,9368,PASS
lesion_analysis_resolved_v1,11851,11851,PASS
analysis_cancer_cohort_v1,4136,4136,PASS
patient_refined_master_clinical_v12,12886,12886,PASS
thyroid_scoring_py_v1,10871,10871,PASS
complication_phenotype_v1,5928,5928,PASS
longitudinal_lab_canonical_v1,39961,39961,PASS
recurrence_event_clean_v1,1946,1946,PASS
survival_cohort_enriched,61134,61134,PASS
path_synoptics,11688,11688,PASS
operative_episode_detail_v2,9371,9371,PASS
rai_treatment_episode_v2,1857,1857,PASS
extracted_tirads_validated_v1,3474,3474,PASS
thyroglobulin_labs,30245,30245,PASS
clinical_notes_long,11037,11037,PASS
molecular_test_episode_v2,10126,10126,PASS
tumor_episode_master_v2,11691,11691,PASS
extracted_rln_injury_refined_v2,92,92,PASS
