dive,dive_id,access_mode,database,schema,table,column,ref_type
M025,ef4e5075-dacb-4eee-9d4b-d3d118158d72,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m025_tirads_performance_v1,is_malignant,select+filter
M025,ef4e5075-dacb-4eee-9d4b-d3d118158d72,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m025_tirads_performance_v1,tumor_size_cm,select
M025,ef4e5075-dacb-4eee-9d4b-d3d118158d72,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m025_tirads_performance_v1,tirads_best_category_v12,select+groupby
M028,8bb7fd9a-ed33-45cd-b791-bb07fe7eb47a,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m028_bethesda_iii_iv_v1,bethesda_final,select+groupby
M028,8bb7fd9a-ed33-45cd-b791-bb07fe7eb47a,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m028_bethesda_iii_iv_v1,is_malignant,filter
M028,8bb7fd9a-ed33-45cd-b791-bb07fe7eb47a,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m028_bethesda_iii_iv_v1,molecular_tested_confirmed,filter
M028,8bb7fd9a-ed33-45cd-b791-bb07fe7eb47a,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m028_bethesda_iii_iv_v1,histology_final,select+groupby
M029,68fd3fe0-c310-4c86-99fd-8af2074164ae,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m029_fna_concordance_v1,fna_path_concordant,select+filter
M029,68fd3fe0-c310-4c86-99fd-8af2074164ae,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m029_fna_concordance_v1,fna_path_concordance_category,select+groupby
M030,6483ff38-f28d-4322-8f38-23c00ba1f89d,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m030_genetic_predictive_v1,is_malignant,filter
M030,6483ff38-f28d-4322-8f38-23c00ba1f89d,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m030_genetic_predictive_v1,braf_positive_final,select+groupby
M030,6483ff38-f28d-4322-8f38-23c00ba1f89d,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m030_genetic_predictive_v1,ras_positive_final,select+groupby
M030,6483ff38-f28d-4322-8f38-23c00ba1f89d,direct,thyroid_canonical_publication_v1_0,manuscript_workspace,cohort_m030_genetic_predictive_v1,tert_positive_final,select+groupby
