ordinal_position,column_name,data_type,verification_status,verification_method,batch_id,registry_notes,n_rows,null_or_blank,non_null,distinct_raw,distinct_norm,leading_trailing_rows,repeated_ws_rows,non_lower_rows,top_norm_count,norm_groups_with_raw_variants,null_pct,top_norm_pct_of_nonnull,norm_distinct_pct_of_nonnull,column_class,semantic_family,is_enum_candidate,rare_value_count,drift_issue_count
6,ajcc8_m_stage,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,10871,0,10871,2,2,0,0,10871,9053,0,0.0,83.277,0.018,controlled_vocab_candidate,stage,True,0,0
7,ajcc8_missing_components,VARCHAR,verified,derivation_ajcc_calculability_check,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 AJCC-component shard STRING_AGG payloads; **`ajcc8_calculable_flag` NOT naive “(T+N+M+age) ALL non-null”** — see CF-mig143-AJCC8-CALC-NOT-NAIVE4 vs naive probe **112**. Ordering-independent equality via list_sort/tokenizer on CSV-style missing lists.,10871,4082,6789,1,1,0,0,0,6789,0,37.549,100.0,0.015,degenerate_single_value,stage,True,0,0
8,ajcc8_n_stage,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,10871,5381,5490,4,4,0,0,5490,2640,0,49.499,48.087,0.073,controlled_vocab_candidate,stage,True,0,0
10,ajcc8_stage_group,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,10871,6740,4131,4,4,0,0,4131,1728,0,62.0,41.83,0.097,controlled_vocab_candidate,stage,True,0,0
11,ajcc8_t_stage_with_microete_t3b_DEPRECATED,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,10871,6733,4138,5,5,0,0,4138,1318,0,61.935,31.851,0.121,controlled_vocab_candidate,stage,True,0,0
15,ames_risk,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155d AMES). AMES categorical ladder; ames_risk stored VARCHAR (CF-mig155-AMES-RISK-VARCHAR).,10871,0,10871,2,2,0,0,0,7484,0,0.0,68.844,0.018,controlled_vocab_candidate,risk_scoring,True,0,0
16,ames_risk_group,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155d AMES). AMES categorical ladder; ames_risk stored VARCHAR (CF-mig155-AMES-RISK-VARCHAR).,10871,0,10871,2,2,0,0,0,7484,0,0.0,68.844,0.018,controlled_vocab_candidate,risk_scoring,True,0,0
26,ata_initial_risk,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155a ATA initial). 2015 ATA initial stratification from malignant path rollups + staging inputs; calculability mirrors scoring_ata_flag / ata_calculable_flag. CF-mig155-ATA-INITIAL-VS-CATEGORY-DUP (100% equality ata_initial_risk vs ata_risk_category).,10871,7727,3144,3,3,0,0,0,1835,0,71.079,58.365,0.095,controlled_vocab_candidate,risk_scoring,True,0,0
28,ata_response_category,VARCHAR,verified,derivation_vs_note_entities_llm_dynamic_risk_response,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155b ATA response). NLP dynamic-risk-response entities rolled to patient grain; NOT recurrence endpoints. CF-mig155-DYNAMIC-RISK-NLP-SSOT (no canonical_dynamic_risk_response_* table in main). CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_calculable_flag; CF-mig155-COHORT-NEAR-UNIFORM-TRUE-ata_response_is_provisional.,10871,10836,35,5,5,0,0,0,23,0,99.678,65.714,14.286,controlled_vocab_candidate,risk_scoring,True,0,0
31,ata_risk_category,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_155_patient_master_risk_scoring_survival_genetics_cluster_20260429, | mig_155 risk-scoring cluster (155a ATA initial). 2015 ATA initial stratification from malignant path rollups + staging inputs; calculability mirrors scoring_ata_flag / ata_calculable_flag. CF-mig155-ATA-INITIAL-VS-CATEGORY-DUP (100% equality ata_initial_risk vs ata_risk_category).,10871,7727,3144,3,3,0,0,0,1835,0,71.079,58.365,0.095,controlled_vocab_candidate,risk_scoring,True,0,0
32,best_ene_grade,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,9275,1596,12,12,0,0,0,1238,0,85.319,77.569,0.752,controlled_vocab_candidate,other,True,1,1
36,bethesda_category,VARCHAR,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,10871,5845,5026,6,6,0,0,5026,2033,0,53.767,40.45,0.119,controlled_vocab_candidate,other,True,0,0
38,bethesda_final_name,VARCHAR,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,10871,5845,5026,6,6,0,0,5026,2033,0,53.767,40.45,0.119,controlled_vocab_candidate,other,True,0,0
40,bethesda_source,VARCHAR,verified,derivation_vs_canonical_fna_events_bethesda_cluster,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). bethesda_* vs canonical_fna_events_v1 (mig_78/mig_96 lineage).,10871,5605,5266,1,1,0,0,0,5266,0,51.559,100.0,0.019,degenerate_single_value,provenance,True,0,0
47,bmi_note_source,VARCHAR,verified,derivation_bmi_hierarchy,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 BMI shard. anesthesia_vs_clinic_vs_NLP-note extraction ladder (+ missingness reason stamping) per operative/clinic consolidation feeders.,10871,10225,646,2,2,0,0,0,632,0,94.058,97.833,0.31,possible_enum_review,provenance,True,0,0
48,bmi_source,VARCHAR,verified,derivation_bmi_hierarchy,mig_143_patient_master_small_clusters_bundle_20260429, | mig_143 BMI shard. anesthesia_vs_clinic_vs_NLP-note extraction ladder (+ missingness reason stamping) per operative/clinic consolidation feeders.,10871,8786,2085,3,3,0,0,0,1409,0,80.821,67.578,0.144,possible_enum_review,provenance,True,0,0
49,braf_detection_method,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,10871,10495,376,3,3,0,0,376,289,0,96.541,76.862,0.798,controlled_vocab_candidate,molecular,True,0,0
50,braf_detection_method_v11,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,10871,10495,376,3,3,0,0,376,268,0,96.541,71.277,0.798,controlled_vocab_candidate,molecular,True,0,0
54,braf_recovered_status_v11,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,10871,10495,376,1,1,0,0,0,376,0,96.541,100.0,0.266,degenerate_single_value,molecular,True,0,0
55,braf_recovered_variant_v11,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,10871,10600,271,3,3,0,0,271,156,0,97.507,57.565,1.107,controlled_vocab_candidate,histology,True,0,0
56,braf_source,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,10871,844,10027,2,2,0,0,0,9651,0,7.764,96.25,0.02,possible_enum_review,molecular,True,0,0
57,braf_status_v7,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,10871,847,10024,2,2,0,0,0,9758,0,7.791,97.346,0.02,controlled_vocab_candidate,molecular,True,0,0
58,braf_variant,VARCHAR,verified,derivation_vs_canonical_molecular_genetics_v2,mig_137_patient_master_molecular_cluster_20260429, | mig_137 molecular cluster (Lane 27). BRAF: v2 episode flags + variant columns (mig_116) + v7/v11 recovery passthrough; braf_positive_final replay 0-drift vs BOOL_OR(braf_flag) OR braf_recovered_status_v11=positive.,10871,10698,173,2,2,0,0,173,151,0,98.409,87.283,1.156,controlled_vocab_candidate,histology,True,0,0
63,capsular_invasion_refined,VARCHAR,verified,derivation_vs_canonical_invasion_events_v1,mig_154_patient_master_pathology_invasion_cluster_20260429, | mig_154 pathology-invasion (154a capsular). BOOL_OR / ordinal worst from capsular-axis invasion events + path malignant feeder; spot vs invasion_type=capsular present rows. CF-mig154-PM-CAPSULAR-VS-EVENT-PRESENT (PM TRUE vs event-absent drift enumerated in header).,10871,9680,1191,2,2,0,0,0,1126,0,89.044,94.542,0.168,controlled_vocab_candidate,other,True,0,0
64,capsular_invasion_v6,VARCHAR,verified,derivation_vs_canonical_invasion_events_v1,mig_154_patient_master_pathology_invasion_cluster_20260429, | mig_154 pathology-invasion (154a capsular). BOOL_OR / ordinal worst from capsular-axis invasion events + path malignant feeder; spot vs invasion_type=capsular present rows. CF-mig154-PM-CAPSULAR-VS-EVENT-PRESENT (PM TRUE vs event-absent drift enumerated in header).,10871,9644,1227,3,3,0,0,0,1135,0,88.713,92.502,0.244,controlled_vocab_candidate,other,True,0,0
65,chyle_leak_status,VARCHAR,verified,derivation_legacy_complication_status_varchar_complications_table,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,0,10871,3,3,0,0,0,9283,0,0.0,85.392,0.028,controlled_vocab_candidate,other,True,0,0
72,comp_chyle_leak_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_chyle_mig_98b,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,9283,1588,6,6,0,0,0,1429,0,85.392,89.987,0.378,controlled_vocab_candidate,complication,True,0,0
80,comp_hematoma_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_hematoma_mig_98e,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,10618,253,5,5,0,0,0,196,0,97.673,77.47,1.976,controlled_vocab_candidate,complication,True,1,1
88,comp_hypocalcemia_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_hypocalcemia_mig_98g_parathyroid_102,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,8994,1877,6,6,0,0,0,1200,0,82.734,63.932,0.32,controlled_vocab_candidate,complication,True,0,0
96,comp_hypoparathyroidism_timing_window,VARCHAR,verified,patient_level_complication_cross_validate_parathyroid_mig_102,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,10441,430,6,6,0,0,0,365,0,96.045,84.884,1.395,possible_enum_review,complication,True,3,3
104,comp_rln_injury_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_rln_mig_98c,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,10140,731,6,6,0,0,0,631,0,93.276,86.32,0.821,controlled_vocab_candidate,complication,True,2,2
112,comp_seroma_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_seroma_mig_98d,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,9997,874,6,6,0,0,0,541,0,91.96,61.899,0.686,controlled_vocab_candidate,complication,True,1,1
120,comp_vc_paralysis_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_voice_nerve_mig_98c,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,10783,88,5,5,0,0,0,63,0,99.191,71.591,5.682,controlled_vocab_candidate,complication,True,0,0
128,comp_vc_paresis_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_voice_nerve_mig_98c,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,10800,71,4,4,0,0,0,51,0,99.347,71.831,5.634,controlled_vocab_candidate,complication,True,0,0
138,comp_wound_infection_timing_window,VARCHAR,verified,derivation_vs_canonical_complications_events_wound_infection_mig_98_family,mig_135_patient_master_complications_cluster_20260429, | mig_135 complications cluster (Lane 25). SSOT: canonical_complications_events_v1 + rollup mig_108; hypopara/hypocal cross-check mig_102 where applicable.,10871,10855,16,5,5,0,0,0,7,0,99.853,43.75,31.25,controlled_vocab_candidate,complication,True,0,0
142,completion_histology_type,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,10871,10683,188,11,8,6,0,180,153,3,98.271,81.383,4.255,controlled_vocab_candidate,histology,True,3,5
143,completion_prior_histology,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,10871,10486,385,15,12,6,0,264,235,3,96.458,61.039,3.117,controlled_vocab_candidate,histology,True,7,10
146,completion_t_stage,VARCHAR,verified,patient_level_ajcc_overlay_dominant_tumor_mig266b_family,mig_132_patient_master_pathology_cluster_20260429, | mig_132 pathology cluster (Lane 23). AJCC7/8 + dominant tumor staging columns vs mig_266b manuscript adjudication spine.,10871,10761,110,8,8,0,0,0,43,0,98.988,39.091,7.273,controlled_vocab_candidate,stage,True,2,2
149,cross_fna_concordance,VARCHAR,verified,derivation_singleton_cohort_eligibility_v1,mig_156_patient_master_framework_provenance_cluster_20260429, | mig_156 framework cluster (156f singletons). is_malignant mixed benign+malignant cohort; analysis_eligible_flag analytic gate; cross_fna_concordance categorical.,10871,5659,5212,3,3,0,0,0,3390,0,52.056,65.042,0.058,controlled_vocab_candidate,other,True,0,0
163,demo_source,VARCHAR,verified,derivation_vs_gold_master_demographics_coalesce_207,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157c). demo_confidence/demo_source from 207 expansion + CPM builder SSOT.,10871,0,10871,2,2,0,0,0,10862,0,0.0,99.917,0.018,possible_enum_review,provenance,True,1,1
164,diagnosis_confidence,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157b). diagnosis_* vs path_malignant patient rollup primary_dx / full string.,10871,0,10871,2,2,0,0,10871,10720,0,0.0,98.611,0.018,possible_enum_review,other,True,0,0
165,diagnosis_full,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157b). diagnosis_* vs path_malignant patient rollup primary_dx / full string.,10871,0,10871,36,36,0,0,4087,3982,0,0.0,36.63,0.331,controlled_vocab_candidate,other,True,8,8
166,diagnosis_primary,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157b). diagnosis_* vs path_malignant patient rollup primary_dx / full string.,10871,0,10871,25,25,0,0,4087,3982,0,0.0,36.63,0.23,controlled_vocab_candidate,other,True,5,5
167,diagnosis_variant,VARCHAR,verified,derivation_vs_canonical_path_malignant_patient_rollup_v1,mig_157_patient_master_clinical_residual_cluster_20260429, | mig_157 Lane 46 (157b). diagnosis_* vs path_malignant patient rollup primary_dx / full string.,10871,9355,1516,9,9,0,0,0,778,0,86.055,51.319,0.594,controlled_vocab_candidate,histology,True,0,0
172,ene_ct,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10502,369,4,4,0,0,0,224,0,96.606,60.705,1.084,controlled_vocab_candidate,other,True,0,0
174,ene_grade_v9,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,9605,1266,4,4,0,0,0,1250,0,88.354,98.736,0.316,controlled_vocab_candidate,other,True,0,0
175,ene_levels_v9,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10827,44,15,12,0,0,10,12,3,99.595,27.273,27.273,controlled_vocab_candidate,other,True,0,3
177,ene_op_intraop,VARCHAR,verified,derivation_ene_multisource_mig114_gm_path_raw,mig_133_patient_master_lymph_node_cluster_20260429, | mig_133 lymph_node cluster (Lane 24). ENE v9 + imaging concordance vs ete_subgrade / invasion canonicals; gm_path_ene_raw path spine.,10871,10859,12,3,3,0,0,0,6,0,99.89,50.0,25.0,controlled_vocab_candidate,other,True,0,0
