"pm_lvi_grade","path_event_lymphatic_invasion","path_event_vascular_invasion","n_patients","stratum_disposition_under_event_rederive"
"x","x","x","2369","FLIP_TO_FALSE — all sources are 'x' (not assessed); PM was a false-positive"
"x","x","focal","74","FLIP_TO_FALSE for LVI — vascular evidence is real but lymphatic is 'x'"
"x","x","extensive","35","FLIP_TO_FALSE for LVI — vascular extensive but lymphatic 'x'"
"x","x","present","29","FLIP_TO_FALSE for LVI — vascular present but lymphatic 'x'"
"","x","x","27","FLIP_TO_FALSE — NULL pm_lvi_grade with 'x' lymphatic"
"x","x","focal|x","16","FLIP_TO_FALSE for LVI — same pattern, multi-tumor"
"x","x","extensive|x","10","FLIP_TO_FALSE for LVI"
"","x","focal|x","7","FLIP_TO_FALSE for LVI"
"","x","present|x","6","FLIP_TO_FALSE for LVI"
"x","x","indeterminate","6","FLIP_TO_FALSE for LVI"
"","x","indeterminate|x","3","FLIP_TO_FALSE for LVI"
"indeterminate","indeterminate|x","indeterminate|x","3","FLIP_TO_FALSE — events correctly say no 'present' (indeterminate, not present)"
"","x","extensive|x","3","FLIP_TO_FALSE for LVI"
"x","","","2","FLIP_TO_FALSE — no path events at all; PM bug"
"x","x","indeterminate|x","2","FLIP_TO_FALSE for LVI"
"x","x","present|x","2","FLIP_TO_FALSE for LVI"
"x","x","","2","FLIP_TO_FALSE — vascular NULL"
"x","indeterminate|x","x","2","FLIP_TO_FALSE — lymphatic indeterminate, not present"
"indeterminate","indeterminate|x","x","2","FLIP_TO_FALSE — events correctly say no 'present'"
"x","x","minimal","1","FLIP_TO_FALSE for LVI — minimal vasc, lymphatic still 'x'"
"c/a","c/a|x","extensive|x","1","FLIP_TO_FALSE — 'c/a' (cannot assess) treated as not-present"
"x","x","extrensive","1","FLIP_TO_FALSE — TYPO 'extrensive' → 'extensive'; lymphatic still 'x'"
"x","c/a|x","c/a|x","1","FLIP_TO_FALSE — c/a + x"
"x","suspicious|x","x","1","FLIP_TO_FALSE — 'suspicious' is not 'present'"
"indeterminate","indeterminate|x","present|x","1","FLIP_TO_FALSE for LVI — lymphatic indeterminate not present (vasc present is separate axis)"
"c/a","c/a|x","c/a|x","1","FLIP_TO_FALSE — c/a everywhere"
"x","x","limited","1","FLIP_TO_FALSE for LVI"
"x","X|x","X|x","1","FLIP_TO_FALSE — 'X' (uppercase variant of 'x')"
"x","x","c/a","1","FLIP_TO_FALSE — c/a in vasc"
"x","x","extensive|focal","1","FLIP_TO_FALSE for LVI"
"x","x","identified|x","1","FLIP_TO_FALSE for LVI — 'identified' likely vague"
"x","x","Focal|x","1","FLIP_TO_FALSE for LVI — case variant 'Focal'"
"x","x","foacl","1","FLIP_TO_FALSE for LVI — TYPO 'foacl' → 'focal'"
