detail_table_name,wildcard_feed_col,like_pattern,match
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_any_positive_any_modality
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_clin_any_positive
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_clin_avg_confidence
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_clin_n_entities
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_earliest_date
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_ene_any_modality
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_any_suspicious
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_avg_confidence
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_first_date
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_last_date
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_laterality
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_levels_mentioned
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_max_size_cm
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_img_n_entities
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_latest_date
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_modalities_present
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_n_modalities
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_novel_positive_flag
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_path_any_positive
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_path_ene_any
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_path_max_positive_count
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_path_n_entities
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_source_table
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_any_positive
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_avg_confidence
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_bilateral
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_ene_any
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_first_date
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_last_date
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_levels_mentioned
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_max_positive_count
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_max_total_examined
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_n_entities
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_n_notes
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_surg_source_note_types
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,cnln_total_entities
