detail_table_name,domain,schema_name,state
__readme,Catalog,main,NULL
analysis_molecular_subset_v1,Analysis,main,NULL
canonical_tumor_characteristics_v1,Pathology,main,EMPTY
clinical_notes_long,Notes,main,NULL
data_dictionary_v240,Catalog,main,NULL
episode_analysis_resolved_v1_dedup,Analysis,main,NULL
extracted_complications_refined_v5,Complications,main,NULL
extracted_rln_injury_refined_v2,Complications,main,EMPTY
extracted_tirads_validated_v1,Imaging,main,EMPTY
fna_history,FNA,main,NULL
imaging_fna_linkage_v3,Linkage,main,NULL
lab_cross_wave_dedup_map_v1,Labs,main,NULL
lesion_analysis_resolved_v1,Analysis,main,NULL
manuscript_cohort_v1,Manuscript,main,NULL
molecular_assay_dictionary,Molecular,main,NULL
molecular_code_crosswalk,Molecular,main,NULL
molecular_ingestion_runs,Molecular,main,NULL
molecular_results,Molecular,main,NULL
molecular_test_episode_v2,Molecular,main,EMPTY
molecular_testing,Molecular,main,NULL
molecular_variant_long,Molecular,main,EMPTY
nlp_rollup_promotion_audit_v1,NLP/Audit,manuscript_workspace,NULL
nsqip_patient_summary,NSQIP,main,NULL
path_size_adjudication_v241,Pathology/Adjudication,main,NULL
recurrence_event_clean_v1,Recurrence,main,EMPTY
ret_note_entity_adjudication_v226,Molecular/NLP,main,NULL
serial_imaging_us,Imaging,main,EMPTY
specimen_genomic_assay_v1,Molecular,main,NULL
specimen_source_xref_v1,Linkage,main,NULL
specimen_tumor_focus_v1,Pathology,main,EMPTY
survival_cohort_enriched,Survival,main,EMPTY
thyroid_sizes,Pathology,main,EMPTY
tirads_llm_validation_v2,Imaging,main,NULL
us_nodules_tirads,Imaging,main,EMPTY
us_nodules_tirads_vs_inm_v1_discordance_v1,Imaging/Audit,main,NULL
vc_paralysis_recalibration_v236,Complications,manuscript_workspace,EMPTY
