detail_table_name,wildcard_feed_col,like_pattern,match
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_afib
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_afib_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_asthma
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_asthma_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_autoimmune_thyroid_hx
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_autoimmune_thyroid_hx_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_breast_cancer
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_breast_cancer_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_cad
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_cad_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_ckd
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_ckd_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_coagulopathy
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_comorbidity_list
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_copd
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_copd_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_depression
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_depression_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_diabetes
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_diabetes_first_date
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_diabetes_first_days_from_surg
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_diabetes_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_extraction_method
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_family_hx_cancer
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_family_hx_thyroid
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_family_hx_thyroid_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_gerd
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_gerd_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypertension
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypertension_first_date
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypertension_first_days_from_surg
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypertension_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hyperthyroidism
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hyperthyroidism_first_date
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hyperthyroidism_first_days_from_surg
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hyperthyroidism_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypothyroidism
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypothyroidism_first_date
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypothyroidism_first_days_from_surg
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_hypothyroidism_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_lung_cancer
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_lung_cancer_n_mentions
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_men_syndrome
note_entities_llm_past_medical_hx,pmhx_nlp_* columns (diabetes,pmhx_nlp_%,pmhx_nlp_n_comorbidities
