column_name,data_type,proposed_v2_counterpart,v2_data_type,n_populated_legacy,n_populated_v2,n_both_populated,n_both_agree,n_both_disagree,n_legacy_only,n_v2_only,n_both_null,writer_scripts,reader_scripts,recommendation,rationale,note
imaging_laterality_rollup_v271b,VARCHAR,imaging_laterality_rollup_v2,VARCHAR,3439,3439,3439,2342,1097,0,0,7432,271b_laterality_normalization.py,(none),INVESTIGATE,"Middle-zone agreement 68.1% on 3439 rows — partial backfill, stale data, or logic change suspected.",both VARCHAR; check whether v2 reproduces v271b semantics
imaging_tirads_source,VARCHAR,,,3474,,,,,,,,48_build_analysis_resolved_layer.py,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; cpm_cols_pre.txt; schema_inventory.md,INVESTIGATE,No v2 counterpart and 4 script reader(s). VARCHAR source system label; possibly redundant with tirads_source_system_v271 — flagged,VARCHAR source system label; possibly redundant with tirads_source_system_v271 — flagged
preop_tirads_worst,BIGINT,,,3474,,,,,,,,204_canonical_master_assembly.py; 205_canonical_consolidation.py,cpm_cols_pre.txt,INVESTIGATE,No v2 counterpart and 1 script reader(s). no v2 counterpart (only preop_tirads_best_v2 exists),no v2 counterpart (only preop_tirads_best_v2 exists)
tirads_best_points_v271,DOUBLE,,,1326,,,,,,,,271_tirads_imaging_finalization.py,(none),INVESTIGATE,No v2 counterpart. no v2 best_points — would need MIN aggregate from canonical_us_nodule_v2,no v2 best_points — would need MIN aggregate from canonical_us_nodule_v2
tirads_concordant_count_v12,BIGINT,,,3474,,,,,,,,(none),207_canonical_master_expansion.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1,INVESTIGATE,No v2 counterpart but 1 cohort view(s) read this column. Need to design a replacement or rename before drop. no v2 — concept retired (per-nodule acr2017_vs_updated_concordant on canonical_us_nodule_v2),no v2 — concept retired (per-nodule acr2017_vs_updated_concordant on canonical_us_nodule_v2)
tirads_has_acr_recalc_v12,BOOLEAN,,,3474,,,,,,,,(none),207_canonical_master_expansion.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md,INVESTIGATE,No v2 counterpart and 4 script reader(s). no v2 — concept retired,no v2 — concept retired
tirads_mismatch_count_v12,BIGINT,,,3474,,,,,,,,(none),207_canonical_master_expansion.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1,INVESTIGATE,No v2 counterpart but 1 cohort view(s) read this column. Need to design a replacement or rename before drop. no v2 — concept retired,no v2 — concept retired
tirads_n_nodule_records_v12,BIGINT,tirads_v2_n_nodules_scored,BIGINT,3474,2465,2463,1250,1213,1011,2,7395,(none),207_canonical_master_expansion.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_m075_tirads_multi_nodule_v1,INVESTIGATE,"Middle-zone agreement 50.8% on 2463 rows — partial backfill, stale data, or logic change suspected.",BIGINT vs BIGINT (count of scored nodule records)
tirads_n_sources_v12,BIGINT,,,3474,,,,,,,,(none),207_canonical_master_expansion.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_m025_tirads_performance_v1,INVESTIGATE,No v2 counterpart but 1 cohort view(s) read this column. Need to design a replacement or rename before drop. no v2 — concept retired,no v2 — concept retired
tirads_nodules_scored_combined,BIGINT,tirads_v2_n_nodules_scored,BIGINT,3439,2465,2463,1342,1121,976,2,7430,205_canonical_consolidation.py,cpm_cols_pre.txt,INVESTIGATE,"Middle-zone agreement 54.5% on 2463 rows — partial backfill, stale data, or logic change suspected.",BIGINT vs BIGINT count
tirads_reliability_v12,DOUBLE,,,3474,,,,,,,,(none),207_canonical_master_expansion.py; 273_registry_curation.py; cpm_cols_pre.txt; schema_inventory.md; VIEW:manuscript_workspace.cohort_m025_tirads_performance_v1,INVESTIGATE,No v2 counterpart but 1 cohort view(s) read this column. Need to design a replacement or rename before drop. no v2 — concept retired (no reliability score in v2),no v2 — concept retired (no reliability score in v2)
tirads_source_system_v271,VARCHAR,,,1326,,,,,,,,271_tirads_imaging_finalization.py,(none),INVESTIGATE,No v2 counterpart. label-only column for v271 points; superseded if v2 path becomes canonical,label-only column for v271 points; superseded if v2 path becomes canonical
tumor_pathology_laterality_v271b,VARCHAR,,,3986,,,,,,,,271b_laterality_normalization.py,(none),INVESTIGATE,No v2 counterpart. newer name; no _v2 — keep (and consider rename to drop _v271b suffix once stabilized),newer name; no _v2 — keep (and consider rename to drop _v271b suffix once stabilized)
worst_tirads_category,VARCHAR,tirads_v2_worst_category,VARCHAR,3439,2819,2817,2358,459,622,2,7430,50_multinodule_imaging.py,207_canonical_master_expansion.py; 213_data_dictionary.py; cpm_cols_pre.txt; schema_inventory.md,INVESTIGATE,"Middle-zone agreement 83.7% on 2817 rows — partial backfill, stale data, or logic change suspected.",VARCHAR vs VARCHAR — patient worst TR-rank rollup
imaging_laterality_rollup,VARCHAR,imaging_laterality_rollup_v271b,VARCHAR,3439,3439,3439,1197,2242,0,0,7432,271_tirads_imaging_finalization.py; 271a_fix_concordance_three_valued.py; 271b_laterality_normalization.py,(none),PRESERVE_DIFFERENT_SEMANTIC,Only 34.8% agreement — pair likely measures different things despite naming.,legacy 'mixed' is ambiguous; v271b is the analytic canonical
imaging_tirads_best,BIGINT,imaging_tirads_best_v2,VARCHAR,3474,1226,1226,240,986,2248,0,7397,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 301_canonical_us_patient_master_v1.py; 48_build_analysis_resolved_layer.py,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; 56_pre_manuscript_audit.py; 62_run_primary_descriptives.py; cpm_cols_pre.txt; schema_inventory.md,PRESERVE_DIFFERENT_SEMANTIC,Only 19.6% agreement — pair likely measures different things despite naming.,BIGINT(1-5) vs VARCHAR(TR1-TR5)
imaging_tirads_worst,BIGINT,imaging_tirads_worst_v2,VARCHAR,3474,1226,1226,279,947,2248,0,7397,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 252_recompute_max_tirads.py; 301_canonical_us_patient_master_v1.py; 48_build_analysis_resolved_layer.py,252_recompute_max_tirads.py; 48_build_analysis_resolved_layer.py; cpm_cols_pre.txt; explain_plan_01.txt; query_log.sql; run_feasibility.py; schema_inventory.md; PLAN.md,PRESERVE_DIFFERENT_SEMANTIC,Only 22.8% agreement — pair likely measures different things despite naming.,BIGINT(1-5) vs VARCHAR(TR1-TR5)
imaging_updated_tirads_category_cpm_v1,VARCHAR,imaging_updated_tirads_category_cpm_v2,VARCHAR,3474,1226,1226,363,863,2248,0,7397,(none),375_cpm_column_cleanup_and_audit.py,PRESERVE_DIFFERENT_SEMANTIC,Only 29.6% agreement — pair likely measures different things despite naming.,VARCHAR vs VARCHAR (TR-rank category)
