column_name,cpm_dtype,canonical_table,canonical_column,canonical_dtype,coverage_status,notes
imaging_laterality_rollup,VARCHAR,-,-,—,drop_no_replacement,Legacy un-suffixed; superseded by imaging_laterality_rollup_v2 on cupm_v2 (per pre-B port from _v271b)
imaging_laterality_rollup_v2,VARCHAR,-,-,—,drop_no_replacement,"Old CPM column; cupm_v2.imaging_laterality_rollup_v2 (NEW, ported from _v271b) is now canonical"
pathology_vs_imaging_laterality_concordant,BOOLEAN,-,-,—,drop_no_replacement,Legacy BOOLEAN; superseded by cupm_v2.pathology_vs_imaging_laterality_concordant_v2 (5-valued VARCHAR ported from _v271b)
tirads_v2_any_ete_on_us,BOOLEAN,-,-,—,drop_no_replacement,"0 readers, 0 views; no canonical equivalent — retire"
tirads_v2_n_reports,BIGINT,-,-,—,drop_no_replacement,"0 readers, 0 views; no canonical equivalent — retire"
tirads_v2_shortest_followup_months,DOUBLE,-,-,—,drop_no_replacement,"0 readers, 0 views; no canonical equivalent — retire"
tirads_best_points_v271,DOUBLE,-,-,—,gap_other_v2_table,MIN points; consumer aggregates from cunc_v2.acr2017_tirads_points (0 readers — low priority)
tirads_nodules_scored_combined,BIGINT,-,-,—,gap_other_v2_table,Consumer aggregates from cunc_v2 (1 reader)
tirads_v2_any_fna_recommended,BOOLEAN,-,-,—,gap_other_v2_table,Consumer aggregates BOOL_OR(cunc_v2.fna_recommended_this_nodule) (0 readers)
tirads_v2_any_interval_growth,BOOLEAN,-,-,—,gap_other_v2_table,Consumer aggregates BOOL_OR(cunc_v2.interval_growth_flag) (0 readers)
tirads_v2_largest_nodule_cm,DOUBLE,-,-,—,gap_other_v2_table,Consumer aggregates from cunc_v2 (0 readers)
tirads_v2_n_nodules_scored,BIGINT,-,-,—,gap_other_v2_table,Consumer aggregates COUNT(*) from cunc_v2 WHERE tirads_reported_in_text IS NOT NULL (1 reader)
tirads_best_score_v12,BIGINT,canonical_us_patient_master_v2,tirads_category_at_first_exam,VARCHAR,mapped_category,BIGINT category 1-5 → VARCHAR TR rank
tirads_worst_score_v12,BIGINT,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_category,BIGINT category 1-5 → VARCHAR TR rank
imaging_laterality_rollup_v271b,VARCHAR,canonical_us_patient_master_v2,imaging_laterality_rollup_v2,VARCHAR,mapped_cupm_v2,Ported via cupm_v2_canonical_backfill_v1; rename-on-move
imaging_tirads_best,BIGINT,canonical_us_patient_master_v2,tirads_category_at_first_exam,VARCHAR,mapped_cupm_v2,Per-exam first-exam category rollup
imaging_tirads_best_v2,VARCHAR,canonical_us_patient_master_v2,tirads_category_at_first_exam,VARCHAR,mapped_cupm_v2,Same as imaging_tirads_best
imaging_tirads_worst,BIGINT,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Patient worst TR rank rollup
imaging_tirads_worst_v2,VARCHAR,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Same as imaging_tirads_worst
imaging_updated_tirads_category_cpm_v1,VARCHAR,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,"Patient-rollup; v1 older, _v2 newer"
imaging_updated_tirads_category_cpm_v2,VARCHAR,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Patient-rollup
max_tirads_ever,BIGINT,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,BIGINT 1-5 → VARCHAR TR1-TR5
max_tirads_ever_v2,DOUBLE,canonical_us_patient_master_v2,max_tirads_points_ever,DOUBLE,mapped_cupm_v2,DOUBLE points (0-13+); already exists on cupm_v2
pathology_vs_imaging_laterality_concordant_v271b,VARCHAR,canonical_us_patient_master_v2,pathology_vs_imaging_laterality_concordant_v2,VARCHAR,mapped_cupm_v2,Ported via backfill; rename-on-move
preop_tirads_best,BIGINT,canonical_us_patient_master_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Last-preop-exam category
preop_tirads_best_v2,VARCHAR,canonical_us_patient_master_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Same as preop_tirads_best
preop_tirads_category,VARCHAR,canonical_us_patient_master_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Likely same as preop_best/worst
preop_tirads_category_v2,VARCHAR,canonical_us_patient_master_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Same as preop_tirads_category
preop_tirads_worst,BIGINT,canonical_us_patient_master_v2,tirads_category_at_last_preop_exam,VARCHAR,mapped_cupm_v2,Best+worst flatten to last preop value on cupm_v2
tirads_best_category_v12,VARCHAR,canonical_us_patient_master_v2,tirads_category_at_first_exam,VARCHAR,mapped_cupm_v2,VARCHAR labels collapse to TR rank
tirads_best_combined,INTEGER,canonical_us_patient_master_v2,tirads_category_at_first_exam,VARCHAR,mapped_cupm_v2,Pre-v12 INTEGER form
tirads_n_nodule_records_v12,BIGINT,canonical_us_patient_master_v2,n_nodule_records,BIGINT,mapped_cupm_v2,Computed from cunc_v2 in cupm_v2 view body (COUNT(*) per RID)
tirads_nodule_size_max_mm_v12,DOUBLE,canonical_us_patient_master_v2,max_nodule_size_mm,DOUBLE,mapped_cupm_v2,"Computed from cunc_v2 in cupm_v2 view body (GREATEST(length,width,height) with size_cm_max*10 fallback)"
tirads_v2_any_fna_recommended_report,BOOLEAN,canonical_us_patient_master_v2,any_fna_recommended_report_ever,BOOLEAN,mapped_cupm_v2,"Ported via backfill; rename-on-move (drop tirads_v2_ prefix, add _ever suffix)"
tirads_v2_any_fna_recommended_report_source,VARCHAR,canonical_us_patient_master_v2,any_fna_recommended_report_source,VARCHAR,mapped_cupm_v2,Ported via backfill; rename-on-move
tirads_v2_any_suspicious_ln_on_us,BOOLEAN,canonical_us_patient_master_v2,any_suspicious_us_ln_ever,BOOLEAN,mapped_cupm_v2,Direct match
tirads_v2_max_points,DOUBLE,canonical_us_patient_master_v2,max_tirads_points_ever,DOUBLE,mapped_cupm_v2,Same column
tirads_v2_worst_category,VARCHAR,canonical_us_patient_master_v2,max_tirads_category_ever,VARCHAR,mapped_cupm_v2,Same column
tirads_v2_worst_rank,INTEGER,canonical_us_patient_master_v2,tirads_worst_rank_ever,INTEGER,mapped_cupm_v2,Ported via backfill; rename-on-move (add _ever suffix)
tirads_v2_worst_rank_source,VARCHAR,canonical_us_patient_master_v2,tirads_worst_rank_source,VARCHAR,mapped_cupm_v2,Ported via backfill; rename-on-move
