column_name,data_type,is_nullable,ordinal_position,non_null_count,coverage_pct,inferred_source,description
age_at_surgery,BIGINT,YES,1,10871,100.0,gold_master_patient_facts_v1,BIGINT field
ages_calculable_flag,BOOLEAN,YES,2,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ages_score,DOUBLE,YES,3,10871,100.0,gold_master_patient_facts_v1,DOUBLE field
aggressive_variant_flag,BOOLEAN,YES,4,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ajcc8_calculable_flag,BOOLEAN,YES,5,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ajcc8_m_stage,VARCHAR,YES,6,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
ajcc8_missing_components,VARCHAR,YES,7,6789,62.5,gold_master_patient_facts_v1,VARCHAR field
ajcc8_n_stage,VARCHAR,YES,8,5277,48.5,gold_master_patient_facts_v1,VARCHAR field
ajcc8_stage_calculable_flag,BOOLEAN,YES,9,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ajcc8_stage_group,VARCHAR,YES,10,4083,37.6,gold_master_patient_facts_v1,VARCHAR field
ajcc8_t_stage,VARCHAR,YES,11,4083,37.6,gold_master_patient_facts_v1,VARCHAR field
ajcc8_t_stage_calculable_flag,BOOLEAN,YES,12,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
alk_positive_v7,BOOLEAN,YES,13,10024,92.2,gold_master_patient_facts_v1,BOOLEAN field
ames_calculable_flag,BOOLEAN,YES,14,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ames_risk,VARCHAR,YES,15,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
ames_risk_group,VARCHAR,YES,16,10871,100.0,gold_master_patient_facts_v1,VARCHAR field
analysis_eligible_flag,BOOLEAN,YES,17,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
anti_tg_nadir,DOUBLE,YES,18,1376,12.7,gold_master_patient_facts_v1,DOUBLE field
anti_tg_rising_flag,BOOLEAN,YES,19,1376,12.7,gold_master_patient_facts_v1,BOOLEAN field
any_analysis_eligible_complication,BOOLEAN,YES,20,2892,26.6,gold_master_patient_facts_v1,BOOLEAN field
any_confirmed_complication,BOOLEAN,YES,21,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
any_confirmed_complication_flag,BOOLEAN,YES,22,2892,26.6,gold_master_patient_facts_v1,BOOLEAN field
any_fusion_positive,BOOLEAN,YES,23,10024,92.2,gold_master_patient_facts_v1,BOOLEAN field
any_recurrence_flag,BOOLEAN,YES,24,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ata_calculable_flag,BOOLEAN,YES,25,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ata_initial_risk,VARCHAR,YES,26,3144,28.9,gold_master_patient_facts_v1,VARCHAR field
ata_response_calculable_flag,BOOLEAN,YES,27,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ata_response_category,VARCHAR,YES,28,35,0.3,gold_master_patient_facts_v1,VARCHAR field
ata_response_is_provisional,BOOLEAN,YES,29,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ata_risk_calculable_flag,BOOLEAN,YES,30,10871,100.0,gold_master_patient_facts_v1,BOOLEAN field
ata_risk_category,VARCHAR,YES,31,3144,28.9,gold_master_patient_facts_v1,VARCHAR field
best_ene_grade,VARCHAR,YES,32,1596,14.7,gold_master_patient_facts_v1,VARCHAR field
bethesda_2010,BIGINT,YES,33,5212,47.9,fna_cytology,From fna_cytology
bethesda_2015,BIGINT,YES,34,5212,47.9,fna_cytology,From fna_cytology
bethesda_2023,BIGINT,YES,35,5212,47.9,fna_cytology,From fna_cytology
bethesda_category,VARCHAR,YES,36,5249,48.3,fna_cytology,From fna_cytology
bethesda_confidence,DOUBLE,YES,37,5249,48.3,fna_cytology,From fna_cytology
bethesda_final,BIGINT,YES,38,5249,48.3,fna_cytology,From fna_cytology
bethesda_final_name,VARCHAR,YES,39,5249,48.3,fna_cytology,From fna_cytology
bethesda_num,DOUBLE,YES,40,5249,48.3,fna_cytology,From fna_cytology
bethesda_source,VARCHAR,YES,41,5249,48.3,fna_cytology,From fna_cytology
bilateral_disease_flag,BOOLEAN,YES,42,3439,31.6,gold_master_patient_facts_v1,BOOLEAN field
biochemical_recurrence_flag,BOOLEAN,YES,43,1946,17.9,gold_master_patient_facts_v1,BOOLEAN field
biochemical_tg_at_recurrence,DOUBLE,YES,44,666,6.1,gold_master_patient_facts_v1,DOUBLE field
biochemical_tg_nadir_after_surgery,DOUBLE,YES,45,666,6.1,gold_master_patient_facts_v1,DOUBLE field
bmi_combined,DOUBLE,YES,46,2085,19.2,nsqip_data / op_sheet_data / clinical_notes_long,BMI from nsqip_data / op_sheet_data / clinical_notes_long
bmi_note_extracted,DOUBLE,YES,47,646,5.9,nsqip_data / op_sheet_data / clinical_notes_long,BMI from nsqip_data / op_sheet_data / clinical_notes_long
bmi_note_source,VARCHAR,YES,48,646,5.9,nsqip_data / op_sheet_data / clinical_notes_long,BMI from nsqip_data / op_sheet_data / clinical_notes_long
