field_name,domain,status,rationale,primary_source_tables,expected_missingness_behavior,manuscript_allowed,notes
esophageal_involvement_flag,Operative,SOURCE_LIMITED,0 entity records of esophageal type in note_entities_procedures corpus; anatomical references only,"operative_episode_detail_v2, note_entities_procedures",Always FALSE — not confirmed negative; represents absence of NLP evidence,conditional,"Do not interpret FALSE as confirmed-negative. Add Methods caveat."
berry_ligament_flag,Operative,SOURCE_LIMITED,NLP entity type not in current vocabulary; requires V2 extractor deployment to MotherDuck,"operative_episode_detail_v2",Always 0/FALSE until V2 extractor materialized,conditional,"Extractor exists at notes_extraction/extract_operative_v2.py but output not materialized."
frozen_section_flag,Operative,SOURCE_LIMITED,NLP entity type not in current vocabulary — same gap as berry_ligament_flag,"operative_episode_detail_v2",Always 0/FALSE until V2 extractor materialized,conditional,"Requires intraoperative_decision entity type in NLP vocab."
ebl_ml_nlp,Operative,SOURCE_LIMITED,EBL NLP entity not in note_entities_procedures; structured ebl_ml from operative_details has ~1% coverage,"operative_episode_detail_v2, operative_details",Structured: ~1% fill rate; NLP: 0,conditional,"Source-limited at both structured and NLP layers."
parathyroid_identified_count,Operative,SOURCE_LIMITED,Numeric entity extraction not implemented for parathyroid identification count; only flag available,"operative_episode_detail_v2",NULL for all patients; boolean parathyroid_autograft_flag has 40/9371 coverage,no,"Use parathyroid_autograft_flag (40 confirmed) instead."
rln_monitoring_flag,Operative,SOURCE_LIMITED,Monitoring mentioned in 1701/9371 operative notes but may include mention-of-risk language not confirmed-monitoring,"operative_episode_detail_v2, note_entities_procedures",1701 TRUE; but same H&P boilerplate contamination risk as complication entities,conditional,"Treat as likely-monitoring; same precision concern as RLN injury NLP prior to refinement."
non_tg_lab_date,Labs,SOURCE_LIMITED,TSH/PTH/Ca lab dates are NLP-extracted or note-anchored — no structured specimen_collect_dt outside thyroglobulin table,"longitudinal_lab_canonical_v1, extracted_postop_labs_expanded_v1",PTH date coverage 17.4%; calcium 11.6%; TSH/free_T4/free_T3/VitD = 0%,conditional,"Use thyroglobulin (99.5%) and anti-Tg (97.7%) for precise TTE analysis. Use PTH/Ca for broad windowing only."
tsh_result,Labs,SOURCE_LIMITED,TSH measurements not in any structured lab feed; no thyroglobulin_labs-equivalent for TSH exists in current data,"longitudinal_lab_canonical_v1",0 rows with analyte_group='tsh',no,"Requires institutional lab extract before this variable is analysis-grade."
free_t4_result,Labs,SOURCE_LIMITED,Free T4 not in any structured lab table,"longitudinal_lab_canonical_v1",0 rows for free_t4 analyte,no,Requires institutional lab extract.
vitamin_d_result,Labs,SOURCE_LIMITED,Vitamin D not in any structured lab table,"longitudinal_lab_canonical_v1",0 rows for vitamin_d analyte,no,Requires institutional lab extract.
calcitonin_result,Labs,SOURCE_LIMITED,Calcitonin not in any structured lab table; MTC-specific variable,"longitudinal_lab_canonical_v1",0 rows for calcitonin,no,Critical for MTC cohort analyses — requires lab extract.
recurrence_date_exact,Outcomes,SOURCE_LIMITED,88.8% of recurrence flags come from recurrence_risk_features_mv boolean without day-level date; no structured recurrence registry,"extracted_recurrence_refined_v1, recurrence_risk_features_mv",2.7% exact-source; 8.5% biochemical-inferred; 88.8% unresolved,conditional,"CONDITIONALLY allowed; do not use for TTE analysis on the 88.8% without date. Use structured boolean recurrence_flag for count-based analyses."
rai_dose_mci,Treatment,SOURCE_LIMITED,Nuclear medicine reports absent from clinical_notes_long corpus; dose extracted from endocrine/DC notes only; 41% coverage after all backfill,"rai_treatment_episode_v2, extracted_rai_dose_refined_v1",41% fill rate post-backfill (761/1857 episodes); capped without institutional nuc-med data,conditional,"Use presence/absence as primary variable; dose as secondary with missingness discussion in Methods."
rai_receipt_confirmed,Treatment,DERIVED_APPROXIMATE,RAI receipt assertion from NLP notes; not all assertions are confirmed administrations; some are planned or historical,"rai_treatment_episode_v2",862 patients with any episode; 35 confirmed-with-dose (best tier),conditional,"Use rai_assertion_status tiers; 'definite_received' is most reliable subgroup."
