port_order	feeder_object	bq_dataset_expected	legacy_ref_object	md_builder_script	assembly_consumers	columns_or_select_used_by_cpm_phase1	drift_class	pub_canonical_builder_bq_20260514	orphan_bq_builder	disposition_notes	non_clinical_metadata_only_drift
10	patient_analysis_resolved_v1	pub_workspace	n/a_not_legacy_table	scripts/48_build_analysis_resolved_layer.py;scripts/86_operative_nlp_final_sync.py	ASM204 spine	Full row join ~146 cols	SPINE_PARITY	scripts/223_publish_canonical.py PATIENT_SUMMARY	no	10_871 distinct research_id; six PAR-vs-CPM name gaps per cpm_bq_native_rebuild_phase1_plan (Section 1.5.1).	FALSE
11	gold_master_patient_facts_v1	MOTHERDUCK_ONLY	n/a	MD VIEW over patient_analysis_resolved_v1	204;205;207;214;215;221	MASTER_SQL g.* wide block	INTENTIONAL_RESTRUCTURE_ON_BQ	n/a	yes	Use PAR on BQ; no separate gold object.	FALSE
20	canonical_diagnosis_unified_v1	pub_canonical	pub_legacy_source_20260416.same	scripts/200_canonical_diagnosis_standardization.py	204;205;ASM204	d.is_malignant;diagnosis_primary;diagnosis_full;n_tumors;source_table	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no	Facade SELECT * legacy snapshot.	FALSE
30	path_synoptics	pub_canonical	pub_legacy_source_20260416.same	200;201;203;214	200;201;203;214	surg_date;research_id	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
40	tumor_pathology	pub_canonical	pub_legacy_source_20260416.same	200;205 tp_ln	200;205	research_id;LN columns	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
45	raw_histology	BQ_VERIFY	n/a	200 optional	200	rare branch	UNKNOWN_OR_RAW	ingest-dependent	yes	Not in mig_086; confirm before BQ-native 200.	FALSE
50	operative_episode_detail_v2	pub_canonical	pub_legacy_source_20260416.same	201;203;203b;221	201;203;221	surgery_date_native	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql; bq_migrations/mig_098_cpm_feeder_parity_recurrence_operative_20260514.sql (re-resolve SELECT *)	no	2026-05-14: stale BQ view schema (39 vs 48 cols) — run mig_098 CREATE OR REPLACE VIEW to refresh facade.	FALSE
60	longitudinal_lab_canonical_v1	pub_canonical	pub_legacy_source_20260416.same	77;201	201;211;214;216;217	lab_date	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
70	thyroglobulin_lab_canonical_v1	pub_canonical	pub_legacy_source_20260416.same	113;201	201;203	specimen_collect_dt	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
80	ultrasound_reports	pub_canonical	pub_legacy_source_20260416.same	201	201;205;214	ultrasound_date;lymph_node_assessment	VIEW_PASSTHROUGH	bq_migrations/mig_086_legacy_promotion_sweep_views.sql	no		FALSE
