catalog,schema,object_name,table_type,classification,row_count,patient_key,origin_key,time_key,linkage_key,build_release_key,overall_verdict,missing_fields,substitutes,gap_kind,remediation,sql_file
Thyroid 2026,main,_specimen_path_surgery_link_v1,VIEW,row_level_fact_event,11103,PASS: `research_id` non-null all rows,FAIL: missing column(s),PARTIAL: `surg_date` NULL rows=1/11103,PARTIAL: `surgery_episode_id` NULL rows=3287/11103,FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main___specimen_path_surgery_link_v1__count_nulls.sql
Thyroid 2026,main,_specimen_synoptic_spine_v1,VIEW,row_level_fact_event,11103,PASS: `research_id` non-null all rows,FAIL: missing column(s),PARTIAL: `surg_date` NULL rows=1/11103,FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main___specimen_synoptic_spine_v1__count_nulls.sql
Thyroid 2026,main,analysis_cancer_cohort_v1,BASE TABLE,row_level_fact_event,4136,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__analysis_cancer_cohort_v1__count_nulls.sql
Thyroid 2026,main,analysis_molecular_subset_v1,BASE TABLE,row_level_fact_event,10025,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__analysis_molecular_subset_v1__count_nulls.sql
Thyroid 2026,main,analysis_recurrence_subset_v1,BASE TABLE,row_level_fact_event,1946,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__analysis_recurrence_subset_v1__count_nulls.sql
Thyroid 2026,main,analysis_tirads_subset_v1,BASE TABLE,row_level_fact_event,3474,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__analysis_tirads_subset_v1__count_nulls.sql
Thyroid 2026,main,canonical_extracted_fact_long_v1,BASE TABLE,row_level_fact_event,68077,PASS: `research_id` non-null all rows,PASS: `note_row_id` non-null all rows,PARTIAL: `entity_date` NULL rows=59565/68077,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `extraction_run_id` non-null all rows,PARTIAL,time;linkage,note_row_id,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__canonical_extracted_fact_long_v1__count_nulls.sql
Thyroid 2026,main,canonical_extracted_fact_long_v2,BASE TABLE,row_level_fact_event,123577,PASS: `research_id` non-null all rows,PASS: `note_row_id` non-null all rows,PARTIAL: `entity_date` NULL rows=74682/123577,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `extraction_run_id` non-null all rows,PARTIAL,time;linkage,note_row_id,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__canonical_extracted_fact_long_v2__count_nulls.sql
Thyroid 2026,main,canonical_fact_quarantine_v1,BASE TABLE,row_level_fact_event,0,PASS: empty object,PASS: empty object,PASS: empty object,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: empty object,PARTIAL,linkage,note_row_id,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__canonical_fact_quarantine_v1__count_nulls.sql
Thyroid 2026,main,canonical_fact_quarantine_v2,BASE TABLE,row_level_fact_event,199,PASS: `research_id` non-null all rows,PASS: `note_row_id` non-null all rows,PASS: `entity_date` non-null all rows,PARTIAL: no episode/specimen ids; join from note_row_id / canonical spine,PASS: `extraction_run_id` non-null all rows,PARTIAL,linkage,note_row_id,population,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__canonical_fact_quarantine_v2__count_nulls.sql
Thyroid 2026,main,canonical_nodule_linkage_study_v1,VIEW,row_level_fact_event,19891,PASS: `research_id` non-null all rows,FAIL: missing column(s),FAIL: missing column(s),PARTIAL: `fna_episode_id` NULL rows=17511/19891,FAIL: missing column(s),FAIL,origin;time;linkage;build/release,,schema,Add/maintain contract columns per docs/motherduck_database_contract_v1.md §3; backfill via 103/117/138; linkage gaps: join via surgery_episode_id or canonical spine.,object_level_sql/main__canonical_nodule_linkage_study_v1__count_nulls.sql
